ID,Type,Hair,Ear,Clothing,Eyes,Mouth,Background,Offhand,Headgear,Neck,Face,Special
1968,Red,Magenta Messy,Sword,Green Yukata,Closed,Face Mask,OW B,Katana,Black Bucket Hat,,,
1969,Human,Blue Samurai,Dragon,Black Bomber,Bored,Wheat Straw,OW C,Banner,,Koi Tattoo,,
1970,Blue,Silver Spiky,,Frog T Shirt,Tired,420,OW B,Sake,Newsboy Cap,Towel,,
1971,Human,Maroon Messy,,Red Kimono,Closed,Meh,OW A,Banner,,Chain,Eye Patch,
1972,Human,Magenta Flowy,,Aloha,Closed,Surprised,OW C,Monk Staff,Ayaigasa,Tribal Tattoo,,
1973,Human,Blonde Hairband,,Hoodie with Bag,Hopeful,Wheat Straw,Cool Gray,Sakura Katana,,Koi Tattoo,,
1974,Human,Teal Bun,,Black Qipao,Striking,Lipstick,OW A,Fireball,,,Red Fang Paint,
1975,Human,PBlue Swept Back,,Kimono with Straw Hat,Neutral,Long Stubble,OW A,Sakura Katana,,,,
1976,Human,Maroon Bun,,Hoodie,Relaxed,Tongue Out,OW B,,,Choker,Red Stripes Paint,
1977,Human,Purple Pigtail,,Azuki Tech Jacket,Relaxed,Chewing,OW D,Floorsweeper,Yellow Kanzashi,,Kabuki Facepaint,
1978,Human,Indigo Pixie,,Red Floral Kimono,Amethyst,Face Mask,OW B,Katana,,Towel,Blush,
1979,Human,Buzzcut,,White T Shirt,Pierced Eyebrow,Meh,DBlue,Sakura Katana,,Koi Tattoo,,
1980,Human,Orange Short Spiky,,Blue Bomber,Closed,Wheat Straw,OW C,,,Beads,Eye Patch,
1981,Human,Brown Bangs,,Hoodie with Bag,Ruby,Surprised,OW A,,Cat Headband,,,
1982,Human,Indigo Messy,,Light Kimono,Closed,Wheat Straw,OW D,Umbrella,,,Sleep Mask,
1983,Blue,Silver Pixie,,Frog T Shirt,Pierced Eyebrow,Bubble Gum,OW C,,,,,
1984,Human,Pink Pixie,Red Panda,Hoodie with Bag,Striking,Relaxed,OW D,Sakura Katana,,,Eye Scar,
1985,Human,PBlue Swept Back,Blue Fan,Black Yukata,Careless,Chuckle,OW A,Hook Sword,,Towel,Reading Glasses,
1986,Human,Orange Swept Back,,Blue Bomber,Focus,Not Bad,Red,,Frog Cap,,,
1987,Human,Pink Flowy,,Blue Kimono with Bow,Joyful,Tongue Out,OW B,Shuriken,,Beads,,
1988,Human,Blonde Pixie,,Blue Bikini,Pierced Eyebrow,Grass,Dark Purple,Monkey King Staff,,,,
1989,Human,Orange Pixie,,Hoodie,Closed,420,OW B,Umbrella,Ayaigasa,Choker,,
1990,Red,Maroon Short Spiky,,Black Yukata,Closed,Not Bad,Cool Gray,,,Koi Tattoo,Red Fang Paint,
1991,Human,Buzzcut,,Azuki Sweater,Curious,Chuckle,OW C,Fan,,,,
1992,Human,Magenta Pigtail,,Black Hoodie,Relaxed,Frown,OW B,Leather Katana,,,,
1993,Human,Maroon Messy,,Denim Jacket,Suspicious,Toothpick,OW B,Katana,Full Bandana,,Eye Scar,
1994,Human,Black Swept Back,,Green Yukata,Focused,Not Bad,OW C,Coin,Black Bucket Hat,Chill Headphones,Clear Glasses,
1995,Human,Orange Samurai,,White Layered Yukata,Suspicious,Closed,Cool Gray,,,Chill Headphones,,
1996,Human,Maroon Bun,Sunflower,Black Perfecto Jacket,Daydreaming,Laughing,OW C,Coin,,,Blush,
1997,Human,Magenta Flowy,,Light Armor,Ruby,Relaxed,OW B,Monk Staff,,,Clear Glasses,
1998,Human,PBlue Swept Back,Chiyogami,Hoodie with Bag,Curious,Smoking,Dark Purple,Leather Katana,,,,Butterfly
1999,Human,Green Fluffy,,Azuki Sweater,Pierced Eyebrow,Grass,OW C,Bokken,,,Round Blue Shades,
2000,Human,Maroon Bun,Red Bean,Red Perfecto Jacket,Worried,Frown,OW D,Golden Kanabo,,,Black Glasses,
2001,Human,Brown Long,,White Hoodie,Neutral,Chuckle,Red,Umbrella,Frog Headband,,,
2002,Human,Indigo Pixie,Small Hoop,Turquoise Kimono,Worried,Chewing,OW B,,,,,
2003,Red,Green Ombre Bangs,,Azuki Tech Jacket,Relaxed,Closed,Red,Hand Wrap,IKZ Cap,,,
2004,Human,Pink Bangs,,Red Perfecto Jacket,Daydreaming,Whistling,Red,Banner,,,,
2005,Human,Blonde Pixie,,Black Ninja Top,Calm,Tongue Out,OW C,,Frog Headband,,Reading Glasses,
2006,Human,Green Pigtail,,Pink Oversized Kimono,Joyful,Grass,OW D,Sakura Katana,Distressed Beanie,,,
2007,Blue,Buzzcut,,Maroon Yukata,Chill,Toothpick,OW D,Lantern,Full Bandana,Sloth Headphones,,
2008,Human,Green Pony,,Blue Bikini,Focus,Smile,OW B,,,Koi Tattoo,,
2009,Human,Blue Short Spiky,,Kimono with Jacket,Suspicious,Not Bad,Red,,Red Panda Mask,,,
2010,Human,Teal Bangs,,Tank Top with Jacket,Hopeful,Chewing,DBlue,Bat,,Chill Headphones,Blue Shades,
2011,Human,Blue Spiky,Sword,Hoshi Jacket,Meditating,Grass,OW D,,,,,
2012,Human,Blonde Hairband,,Hoshi Jacket,Closed,Bubble Gum,Red,Floorsweeper,,,Round Blue Shades,
2013,Human,Pink Pixie,,Red Panda Kimono,Worried,Laughing,Red,Lantern,Yellow Kanzashi,Chill Headphones,Round Blue Shades,
2014,Spirit,Spirit Spiky,,Black Kimono,Careless,Meh,DBlue,,Full Bandana,,,
2015,Human,Maroon Half Bun,,Alpine Jacket,Careless,Meh,OW C,Hand Wrap,,,,Sakura
2016,Human,Blonde Pixie,Wu,Azuki Sweater,Focus,Relaxed,OW B,,Azuki Cap,Chill Headphones,Blush,
2017,Human,Brown Messy,Dragon,Light Kimono,Careless,Long Stubble,OW D,,,,,
2018,Human,Blue Bob,,Pink Oversized Kimono,Amethyst,Lipstick,OW C,Bat,,,,
2019,Human,Purple Spiky,,Black Kimono,Neutral,Growl,OW A,Monkey King Staff,Cat Headband,,,
2020,Human,Maroon Short Spiky,,Black Perfecto Jacket,Chill,Relaxed,OW B,Bean Juice,,Tribal Tattoo,,
2021,Human,Pink Bangs,,Light Armor,Focus,Smirk,Red,Fan,Backwards Cap,,,
2022,Human,Black Fluffy,,Red Panda T Shirt,Careless,Meh,OW B,Fireball,,,Red Fang Paint,
2023,Human,Brown Long,,Hoodie with Bag,Careless,Growl,OW A,Bokken,,,,
2024,Human,Silver Flowy,,Frog Hoodie,Worried,Smile,OW D,Zanbato,,Towel,Blue Shades,
2025,Human,Green Ombre Flowy,,Azuki Sweater,Striking,Smile,OW D,,,,,
2026,Human,PBlue Messy,Wireless Earbuds,Hoodie with Bag,Pensive,420,OW C,Bat,Pointy Straw Hat,,,
2027,Human,Blonde Pixie,,Bandage Top,Daydreaming,Wheat Straw,DBlue,Banner,,,,
2028,Human,Green Flowy,,Red Hoodie,Worried,Relaxed,OW C,Fishing Rod,IKZ Cap,,,
2029,Human,Green Fluffy,,Black Yukata,Curious,Smirk,DBlue,,,Contract Tattoo,,
2030,Human,Silver Bun,,Black Hoodie,Relaxed,Laughing,Red,Skateboard,,,Red Fang Paint,
2031,Human,Black Fluffy,Yin Yang,Red Panda T Shirt,Pierced Eyebrow,Relaxed,OW D,Umbrella,Full Bandana,,,
2032,Human,Purple Spiky,,Light Kimono,Closed,Growl,OW C,Zanbato,,,Sleep Mask,
2033,Human,Maroon Pony,,Denim Jacket,Striking,Smoking,OW C,Coin,,,,
2034,Human,Blue Half Bun,,White Hoodie,Hopeful,Closed,OW B,,Distressed Beanie,,,
2035,Human,Buzzcut,,Rain Jacket,Closed,Scroll,OW A,Fishing Rod,,Sneakers,Eye Patch,
2036,Human,Brown Messy,,Kimono with Straw Hat,Focused,Smirk,OW D,Golden Shinai,,,Round Blue Shades,Smoke
2037,Human,Blonde Swept Back,,Black Bomber,Bored,Closed,OW B,Zanbato,,,,
2038,Human,Purple Pigtail,,Azuki Tech Jacket,Focus,420,OW A,Kanabo,,,,
2039,Human,Silver Bob,,Fur Hoodie,Closed,Lipstick,OW C,Hand Wrap,Purple Kanzashi,,Blush,
2040,Human,Long Dreadlocks,Small Hoop,Azuki Tech Jacket,Meditating,Growl,OW C,,,,,
2041,Human,Green Pony,,Hoodie,Hopeful,Chewing,OW A,,Frog Mask,Choker,,
2042,Human,Purple Bun,,Bandage Top,Closed,Bubble Gum,OW C,Leather Katana,,Tribal Tattoo,Seer Eyeband,
2043,Human,Maroon Messy,,Vest,Focus,Meh,OW C,Golden Boombox,Azuki Cap,,Eye Scar,
2044,Human,Magenta Messy,,Black Yukata,Bored,420,Red,Fishing Rod,,,,
2045,Human,Indigo Messy,,Maroon Yukata,Chill,Grass,OW D,Kanabo,,,Round Blue Shades,
2046,Human,Purple Pigtail,,Black Ninja Top,Closed,Smirk,OW D,Fan,Sloth Headband,,Sleep Mask,
2047,Human,Long Dreadlocks,Blue Tassel,Azuki Tech Jacket,Calm,Laughing,OW C,,IKZ Cap,,,
2048,Human,Maroon Messy,,Shinto Robe,Focus,Pout,Red,,Beret,Koi Tattoo,Eye Scar,
2049,Human,Green Pigtail,,Blue Qipao,Calm,Tongue Out,Cool Gray,,Chef Headband,,,Fireflies
2050,Human,Brown Spiky,,Frog T Shirt,Closed,Knife,OW A,Monkey King Staff,,Chill Headphones,,
2051,Human,Blonde Short Spiky,,White T Shirt,Closed,Sleep Bubble,OW C,,,,,
2052,Human,Orange Pixie,,Light Armor,Pierced Eyebrow,Tongue Out,OW C,Shuriken,Cat Cap,,,
2053,Human,Blonde Bob,,Hoodie,White,Frown,OW A,,,Choker,,
2054,Human,Black Bangs,,Stitched Samurai Armor,Hopeful,Smirk,OW C,Zanbato,,,Round Blue Shades,
2055,Human,Silver Bangs,,Blue Kimono with Bow,Joyful,Scroll,OW B,,,,,
2056,Human,Brown Pony,,Red Floral Kimono,Focus,Frown,Red,Monk Staff,Sandogasa,Tribal Tattoo,,
2057,Human,Teal Bun,,Black Qipao,Ruby,Grin,OW D,Sakura Katana,,,Eye Scar,
2058,Human,Brown Long,,Vegan Mink Coat,Careless,Closed,OW C,Skateboard,IKZ Cap,,,
2059,Spirit,Spirit Long,,Frog Yukata,White,Pout,OW C,Sakura Katana,,,,Sakura
2060,Blue,Green Ombre Bangs,,Hoodie with Bag,White,Face Mask,Red,,,,,
2061,Human,Magenta Pigtail,Blue Fan,Cloud Poncho,Calm,Smirk,OW D,,Chef Headband,,,Water
2062,Human,Blue Short Spiky,,Dress Shirt,Closed,Pout,Cool Gray,Golden Fishing Rod,,Towel,,Fireflies
2063,Human,Blonde Swept Back,,Shinto Robe,Suspicious,Chuckle,Cool Gray,Guitar,,Chill Headphones,,
2064,Human,Blue Bob,Corded Earbuds,Blue Kimono with Bow,Joyful,Smirk,OW A,,Newsboy Cap,,,
2065,Human,Green Samurai,,White Layered Yukata,Focus,Wheat Straw,OW C,Floorsweeper,,,,
2066,Human,Brown Long,,Black Yukata,Meditating,Gaiter,OW B,Hand Seal,IKZ Cap,,Seer Eyeband,
2067,Human,Teal Bun,,Lavender Kimono with Bow,Daydreaming,Frown,OW C,Katana,,,Round Blue Shades,
2068,Human,Silver Bun,,Turquoise Kimono,Ruby,Smirk,OW B,Katana,,Tribal Tattoo,,
2069,Human,Buzzcut,,Black Yukata,Meditating,Smirk,OW A,Guitar,,Contract Tattoo,,
2070,Human,Maroon Short Spiky,,White T Shirt,Suspicious,Meh,Dark Purple,Sakura Katana,Sloth Mask,,,
2071,Human,Maroon Bun,,Yellow Bikini,Joyful,Chewing,OW D,Lantern,,,,Smoke
2072,Human,Blonde Long,,Vest,Chill,Relaxed,OW C,Bat,,,,
2073,Red,Maroon Short Spiky,Skull Ear Cuffs,White Layered Yukata,Pensive,Smirk,OW D,Banner,,,,
2074,Human,Indigo Pixie,,Black Qipao,Closed,Smoking,OW D,,,,,
2075,Human,Black Bangs,,Azuki Jacket,Calm,Laughing,OW A,Gloves,,,,
2076,Human,Braids,,Red Kimono,Lightning,Knife,OW C,Golden Bat,,Chain,,
2077,Human,Black Blonde Half Bun,,White Hoodie,Ruby,Wheat Straw,Red,Katana,,,,
2078,Human,Pink Flowy,Blue Tassel,Bandage Top,Joyful,Relaxed,OW D,Coin,,,,
2079,Human,Orange Swept Back,,Bumblebee Jacket,Suspicious,Grass,OW B,Shuriken,Fur Bucket Hat,,,
2080,Human,Brown Pony,,Cat Kigu,Calm,Laughing,OW A,Leather Katana,,,,
2081,Blue,Silver Bangs,,Pink Oversized Kimono,Amethyst,Laughing,OW B,Lantern,,,,
2082,Human,Green Half Bun,,White Hoodie,Relaxed,Grin,OW B,,,,,
2083,Human,Maroon Half Bun,,Frog Kigu,Calm,Laughing,OW B,Katana,,,,
2084,Human,Maroon Messy,,Black Yukata,Meditating,Smirk,OW A,Leather Katana,Chef Headband,,,
2085,Human,Blue Short Spiky,,Black T Shirt,Chill,Smirk,OW C,Talisman,Frog Cap,,,
2086,Human,Indigo Long,,Blue Kimono,Closed,Not Bad,OW D,,Ayaigasa,,Red Stripes Paint,
2087,Human,Brown Messy,,Kung Fu Shirt,Focus,Growl,OW C,Kanabo,Black Bucket Hat,,,
2088,Human,Blue Pink Ombre Flowy,,Azuki Sweater,Daydreaming,Frown,OW A,Water Orb,Broken Straw Hat,Beads,,
2089,Human,Green Flowy,,Blue Bomber,Worried,Lipstick,Red,Umbrella,,,,
2090,Human,Indigo Messy,,Camo Hoodie,Pierced Eyebrow,Closed,OW D,Earth,,,Reading Glasses,
2091,Human,PBlue Messy,Chill,Black Yukata,Focused,Wheat Straw,OW C,,,Towel,,
2092,Human,Blonde Bun,Blue Tassel,Red Floral Kimono,Striking,Smoking,OW A,Umbrella,,,Round Purple Sunglasses,
2093,Human,Violet Flowy,Spiked Ring,Blue Kimono with Bow,Closed,Laughing,OW B,,Backwards Cap,Beads,Eye Patch,
2094,Human,Indigo Pixie,,Turquoise Kimono,Closed,Face Mask,OW B,Bean Juice,,,,
2095,Human,Magenta Pigtail,,Azuki Tech Jacket,Daydreaming,Toothpick,Dark Purple,Kanabo,,,,
2096,Human,Silver Spiky,,White T Shirt,Pierced Eyebrow,Toothpick,OW B,,Sandogasa,,Red Fang Paint,
2097,Human,Violet Flowy,,Alpine Jacket,Closed,Lipstick,OW C,Leather Katana,,,,
2098,Human,Indigo Long,,Black Bomber,Pensive,Not Bad,OW C,,,Beads,,
2099,Human,Magenta Messy,,Red Panda T Shirt,Suspicious,Chuckle,Cool Gray,Katana,,,,Fireflies
2100,Human,Brown Messy,,Matsuri Happi,Closed,Growl,OW B,Fan,,,,
2101,Human,Pink Hairband,Corded Earbuds,Red Floral Kimono,Focus,Lipstick,OW D,Monk Staff,,,,
2102,Human,Pink Hairband,,Red Ninja Top,Red,Chewing,OW A,Fan,,,,
2103,Human,Blue Samurai,,Azuki Tech Jacket,Focus,Relaxed,OW D,,Broken Straw Hat,,Red Fang Paint,
2104,Human,Indigo Swept Back,,Red Panda T Shirt,Neutral,Smirk,OW C,,,,Red Fang Paint,
2105,Human,Blonde Long,,Red Perfecto Jacket,Chill,Smoking,Red,Zanbato,,Sneakers,,
2106,Human,Green Samurai,,White T Shirt,Curious,Meh,OW A,,,,,
2107,Human,Green Pigtail,,Vest,Striking,Bubble Gum,OW B,,Yellow Kanzashi,,,
2108,Human,Maroon Fluffy,Chiyogami,Azuki Jacket,Neutral,Relaxed,OW D,Golden Sheathed Katana,Full Bandana,,,
2109,Human,Orange Short Spiky,,Brown Yukata,Chill,Smirk,OW B,Fan,Broken Straw Hat,Towel,,
2110,Human,Brown Samurai,,Camo Hoodie,Meditating,Chuckle,OW A,Banner,,,,
2111,Human,Blonde Swept Back,,Red Hoodie,Closed,Chuckle,Red,Skateboard,Red Panda Cap,,Ji Eyeband,
2112,Red,Maroon Fluffy,Chiyogami,Green Yukata,Closed,Smirk,Cool Gray,Hand Seal,Cowboy Hat,,,
2113,Human,Purple Bun,,Light Armor,Amethyst,Bubble Gum,OW B,,Frog Beanie,,,
2114,Human,Blue Bob,Corded Earbuds,Tank Top,Joyful,Smile,OW A,Bean Juice,,,Red Bandana,
2115,Human,Brown Messy,,Black Yukata,Careless,Meh,OW C,Lantern,,,Lipstick Kiss,
2116,Human,Pink Flowy,,Frog Hoodie,Joyful,Frown,OW D,,Pointy Straw Hat,,,
2117,Human,Maroon Bob,,Red Ninja Top,Striking,Laughing,Cool Gray,,Backwards Cap,Zen Headphones,,
2118,Human,Indigo Pony,Wireless Earbuds,Light Armor,Closed,Lipstick,OW C,Zanbato,,,,
2119,Human,Teal Messy,,Bloody Bomber,Tired,Relaxed,OW D,,,Zen Headphones,Lipstick Kiss,
2120,Human,Silver Long,,Vest,Closed,Scroll,OW B,Floorsweeper,,Tribal Tattoo,Seer Eyeband,
2121,Human,Blue Bun,,Rain Jacket,Ruby,Closed,OW A,,,,Blue Shades,
2122,Human,Blue Bun,Ear Cuffs,Sloth Kimono,Hopeful,Lipstick,OW A,Leather Katana,,Beads,,
2123,Human,Violet Flowy,,Sloth T Shirt,Joyful,Frown,Dark Purple,,Backwards Cap,,Round Blue Shades,
2124,Human,Black Swept Back,,Black Kimono,Bored,Growl,OW D,,Cowboy Hat,,Kabuki Facepaint,
2125,Human,Black Pink Long,,Denim Jacket,Curious,Relaxed,Red,Bat,,,,
2126,Human,Maroon Bob,Corded Earbuds,Dress Shirt,Relaxed,Grass,OW C,,Purple Kanzashi,,,
2127,Human,Silver Hairband,,Cat Hoodie,Ruby,Grass,OW D,,Cat Headband,,,
2128,Human,Brown Samurai,,Suit with Turtleneck,Meditating,Bubble Gum,Red,,Horns,,,
2129,Human,Brown Flowy,,Red Panda Hoodie,Daydreaming,Closed,DBlue,,,,,
2130,Human,Indigo Messy,,Archer,Bored,Relaxed,OW A,Zanbato,,,,
2131,Human,Silver Pixie,,Hoodie,Relaxed,Smoking,Red,Guitar,,Choker,Reading Glasses,
2132,Human,Blonde Bun,Red Tassel,Bloody Bomber,Ruby,Frown,OW D,Gloves,Purple Kanzashi,,Eye Scar,
2133,Human,Blonde Swept Back,,Blue Kimono,Suspicious,Whistling,OW B,,,,,
2134,Human,Maroon Bob,,Camo Hoodie,Closed,Relaxed,OW A,,,,,
2135,Blue,Silver Messy,,Red Hoodie,Chill,Closed,Dark Purple,,,,Blue Shades,
2136,Human,Indigo Bangs,,Blue Floral Kimono,Worried,Grass,OW D,,Horns,,,
2137,Human,Blue Spiky,,Brown Yukata,Careless,Growl,OW B,,,,Eye Scar,
2138,Human,Maroon Bun,,Black Bomber,Striking,Relaxed,OW A,Monkey King Staff,,Koi Tattoo,Red Bandana,
2139,Human,Blonde Swept Back,Sakura,Black Blazer,Pensive,Bubble Gum,OW D,Katana,,Chain,,
2140,Human,Teal Hairband,,Light Armor,Worried,Lipstick,OW C,Leather Katana,,,,
2141,Human,Teal Hairband,Corded Earbuds,Lavender Kimono with Bow,Calm,Grin,OW A,,,,,
2142,Human,Long Dreadlocks,,White Hoodie,Pierced Eyebrow,Relaxed,OW C,Golden Katana,Full Bandana,,,
2143,Human,Buzzcut,,Plated Samurai Armor,Meditating,Bubble Gum,OW D,,Sloth Headband,Chill Headphones,,
2144,Human,Blonde Swept Back,,Brown Yukata,Meditating,Closed,OW D,Zanbato,,,,
2145,Spirit,Spirit Pony,,White Qipao with Fur,Striking,Lipstick,DBlue,Golden Shuriken,,Contract Tattoo,Round Blue Shades,Fireflies
2146,Human,Blonde Hairband,,White Hoodie,Hopeful,Lipstick,OW B,,,,,
2147,Human,Teal Messy,Square Stud,Kung Fu Shirt,Bored,Growl,OW D,,,,Black Glasses,
2148,Red,Magenta Pigtail,,Blue Kimono with Bow,Calm,Smirk,Cool Gray,Sakura Katana,Chef Headband,,Red Fang Paint,
2149,Human,Green Flowy,,Camo Tech Jacket,Joyful,Frown,OW A,,,Tribal Tattoo,Reading Glasses,
2150,Human,Green Pony,,Bloody Bomber,Daydreaming,Wheat Straw,OW D,Shinai,,Chill Headphones,Blush,
2151,Human,Blonde Pixie,,Black Bomber,Closed,Relaxed,OW A,Katana,,,,
2152,Human,,,Shinto Robe,Chill,Pout,OW C,,,,,
2153,Human,Indigo Pixie,,Red Floral Kimono,Relaxed,Laughing,OW C,Coin,,,,Sakura
2154,Human,Blonde Swept Back,,Frog Yukata,Chill,Meh,OW C,Fan,Frog Headband,,,
2155,Human,Teal Messy,,White Yukata,Suspicious,Toothpick,OW B,Skateboard,Backwards Cap,,,Fire
2156,Human,Magenta Pigtail,,Red Ninja Top,Worried,Chewing,OW B,Zanbato,Cat Headband,,,
2157,Human,Magenta Flowy,,Hoodie,Hopeful,Grass,OW B,,,Choker,,
2158,Human,Indigo Long,,Suikan,White,Meh,OW D,Zanbato,,,,
2159,Human,Indigo Swept Back,Skull Ear Cuffs,Suit with Turtleneck,Tired,Smirk,OW A,Gloves,Red Panda Headband,,,
2160,Human,Blonde Long,,White T Shirt,Focus,Not Bad,Cool Gray,Leather Katana,,,Round Purple Sunglasses,Fireflies
2161,Human,Blonde Bun,,Black Ninja Top,White,Relaxed,OW D,,,Frog Headphones,Red Fang Paint,
2162,Human,Blonde Short Spiky,,Kimono with Jacket,Suspicious,Closed,Cool Gray,,,,Eye Scar,
2163,Human,Blonde Swept Back,,Cat Kigu,Careless,Smirk,OW D,,,,,
2164,Human,Purple Bun,,Turquoise Kimono with Bow,Ruby,Lipstick,OW C,Hand Seal,,,,
2165,Human,Magenta Long,Wireless Earbuds,Azuki Sweater,Closed,Chuckle,OW A,Hand Seal,,,Eye Patch,
2166,Red,Magenta Long,,Matsuri Happi,Closed,Smirk,OW A,Floorsweeper,Cowboy Hat,Beads,Red Stripes Paint,
2167,Human,Maroon Bun,,Golden Cat Kigu,Lightning,Knife,OW A,Banner,,,,
2168,Human,Indigo Long,,Kung Fu Shirt,Chill,Meh,Dark Purple,Golden Floorsweeper,,,Lipstick Kiss,Butterfly
2169,Human,Orange Samurai,,Black Perfecto Jacket,White,Not Bad,OW A,,Fur Bucket Hat,,,Water
2170,Human,Green Samurai,,Blue Bomber,Pensive,Pout,OW D,Golden Bean,Cowboy Hat,,Blue Shades,
2171,Human,Braids,,Black Kimono,Bored,Pout,OW C,Skateboard,Chef Headband,Chill Headphones,Eye Scar,
2172,Human,Black Pink Long,,White Blazer,Careless,Gaiter,OW C,Sakura Katana,Straw Hat,Chill Headphones,Red Stripes Paint,
2173,Human,Blue Bun,Red Spiked Ring,Cat Hoodie,Joyful,Smirk,OW A,,Purple Kanzashi,,,
2174,Spirit,Water,,,Striking,Closed,DBlue,Water Orb,,,,Water
2175,Human,Maroon Bun,,Black Hoodie,Focus,Closed,OW A,,,,,
2176,Human,Blonde Pixie,,Vest,Relaxed,Chewing,OW A,Lantern,,,,
2177,Red,Silver Swept Back,Yin Yang,Light Kimono,Bored,Relaxed,OW A,Talisman,,Koi Tattoo,Round Blue Shades,
2178,Human,Black Swept Back,,White Layered Yukata,Tired,Closed,DBlue,Hand Wrap,Black Bucket Hat,Zen Headphones,,
2179,Human,Indigo Messy,,Brown Yukata,Curious,Relaxed,OW D,Skateboard,,,,
2180,Human,Orange Pixie,,Red Panda Kigu,Calm,Chewing,OW D,Bat,,,,
2181,Human,Green Half Bun,,Lavender Kimono with Bow,Closed,Smile,OW C,,,,,
2182,Red,Maroon Short Spiky,,Suit with Turtleneck,Closed,Closed,OW C,,,,,
2183,Human,Blonde Bun,Wu,Blue Bikini,Daydreaming,Tongue Out,OW C,,,,,
2184,Human,Brown Messy,Wireless Earbuds,White Layered Yukata,Pensive,Smirk,Cool Gray,Lantern,,Beads,,
2185,Human,Violet Flowy,Red Panda,Turquoise Kimono with Bow,Daydreaming,Closed,OW C,Bat,,Sneakers,,
2186,Human,Black Hairband,,Rain Jacket,Ruby,Frown,OW D,Leather Katana,,,Red Bandana,
2187,Human,Silver Hairband,,Red Ninja Top,Focus,Laughing,DBlue,Monk Staff,Sloth Headband,,,
2188,Human,Blonde Long,,Frog T Shirt,Closed,Smirk,OW C,,Ayaigasa,,Red Fang Paint,
2189,Human,Brown Messy,,Black Hoodie,Focused,Toothpick,OW C,Hand Seal,Red Panda Cap,,Red Bandana,
2190,Human,Black Pigtail,,Red Ninja Top,Ruby,Grin,OW A,Lantern,Frog Mask,Chill Headphones,,
2191,Human,Silver Pony,,Red Floral Kimono,Pierced Eyebrow,Wheat Straw,OW C,Lantern,,,,
2192,Human,Silver Pony,,Hoshi Jacket,Relaxed,Smile,Red,,,,,
2193,Human,Black Messy,,Aloha,Pensive,Not Bad,DBlue,Boombox,IKZ Cap,,,
2194,Spirit,Spirit Fluffy,,Blue Kimono,White,Meh,DBlue,Hand Wrap,Sandogasa,,,
2195,Human,Blue Samurai,,Brown Yukata,Meditating,Whistling,OW B,Lantern,,Zen Headphones,,
2196,Human,Buzzcut,,Red Kimono,Careless,Smoking,OW D,,,Chain,,
2197,Human,Maroon Messy,,White Blazer,Meditating,Toothpick,Cool Gray,,Straw Hat,Towel,Bandaid,
2198,Human,Blue Nightshade Flowy,,Light Armor,Amethyst,Smile,OW B,Banner,,,,
2199,Human,Silver Spiky,,Black Hoodie,Tired,Meh,OW C,Sake,,,,
2200,Human,Purple Dreadlocks,,Blue Kimono with Bow,Calm,Lipstick,OW C,Katana,,,Reading Glasses,
2201,Human,Pink Bangs,,Blue Floral Kimono,Hopeful,Closed,OW B,,Full Bandana,,,
2202,Human,Orange Pixie,Pearl,Vest,Ruby,Smile,Dark Purple,,IKZ Cap,,,
2203,Human,Indigo Pixie,,Black Qipao,Amethyst,Relaxed,Red,Sake,,,,
2204,Human,Green Spiky,,Cat T Shirt,Tired,Scroll,OW A,Floorsweeper,Beret,,,Sakura
2205,Blue,Water,,Blue Qipao,White,Relaxed,DBlue,Fan,,,,Water
2206,Human,Brown Flowy,,Light Armor,Relaxed,Relaxed,OW B,Banner,,,,
2207,Human,Blue Half Bun,,Azuki Tech Jacket,Closed,Chewing,OW B,,,,Sleep Mask,
2208,Human,Silver Short Spiky,,Tank Top,Focus,Wheat Straw,Dark Purple,Fishing Rod,Sloth Beanie,Towel,Reading Glasses,
2209,Human,Blonde Pixie,,Fur Hoodie,Striking,Whistling,OW B,Katana,Pointy Straw Hat,Tribal Tattoo,Round Blue Shades,
2210,Human,Pink Flowy,,Red Floral Kimono,Relaxed,Smile,OW C,Shuriken,,Chill Headphones,,
2211,Human,Magenta Pigtail,,Yellow Bikini,Calm,Frown,OW C,,Purple Kanzashi,,,
2212,Human,Green Pony,,Dress Shirt,Joyful,Smirk,OW D,Monk Staff,,,,
2213,Human,Purple Spiky,,Black Yukata,Focused,Not Bad,Cool Gray,,,,,
2214,Human,Brown Half Bun,,Vest,Focused,Pout,OW A,Fishing Rod,,,,
2215,Human,Magenta Flowy,,Black Tech Jacket,Focus,Smirk,OW A,Lantern,,,,
2216,Human,Blue Hairband,,Lavender Kimono with Bow,Joyful,Smile,OW C,Bat,,,,
2217,Human,Blonde Short Spiky,,Suit with Turtleneck,Curious,Not Bad,OW C,Floorsweeper,Cowboy Hat,,,
2218,Human,Green Pigtail,,Blue Floral Kimono,Amethyst,Smirk,DBlue,,IKZ Cap,,,Fox Fire
2219,Human,Silver Dreadlocks,,Vest,Closed,Lipstick,OW C,,,,Sleep Mask,
2220,Human,Black Hairband,Corded Earbuds,White Qipao with Fur,Daydreaming,Chewing,OW B,,Beret,,,
2221,Human,Black Hairband,,Beige Poncho,White,Smile,OW A,,,,Bandaid,
2222,Red,Maroon Messy,Dragon,White T Shirt,Tired,Chuckle,OW D,Kanabo,,,Red Bandana,
2223,Human,Pink Flowy,,Black Tech Jacket,Calm,Smile,Red,,,,,
2224,Human,Pink Flowy,,Turquoise Kimono,Closed,Grin,DBlue,,,,,
